Category,Count of CIViC Evidence Items per Category,Percent of all CIViC Evidence Items
Expression Variants,610,610 / 9920  (6.15%)
Epigenetic Modification,23,23 / 9920  (0.23%)
Fusion Variants,1218,1218 / 9920  (12.28%)
Sequence Variants,302,302 / 9920  (3.04%)
Gene Function Variants,345,345 / 9920  (3.48%)
Rearrangement Variants,531,531 / 9920  (5.35%)
Copy Number Variants,67,67 / 9920  (0.68%)
Other Variants,144,144 / 9920  (1.45%)
Genotype Variants,27,27 / 9920  (0.27%)
Region Defined Variants,566,566 / 9920  (5.71%)
Transcript Variants,446,446 / 9920  (4.50%)
