category,number_of_variants,#_evidence_items,impact,average_impact_per_variant
Fusion Variants,195,1009,3366.5,17.26
Region-Defined Variants,102,442,2092.0,20.51
Expression Variants,181,345,1249.0,6.9
Rearrangement Variants,52,236,1104.0,21.23
Sequence Variants,70,192,839.5,11.99
Gene Function Variants,57,169,603.5,10.59
Other Variants,37,42,198.0,5.35
Transcript Variants,56,58,168.0,3.0
Copy Number Variants,19,35,113.0,5.95
Genotypes/Haplotypes,14,19,96.0,6.86
Epigenetic Modification,14,22,82.0,5.86
Genome Features,4,5,25.0,6.25
