Category,Count of CIViC Evidence Items per Category,Percent of all CIViC Evidence Items
Sequence,365,365 / 10850  (3.36%)
Genotype/Haplotype,68,68 / 10850  (0.63%)
Fusion,1590,1590 / 10850  (14.65%)
Rearrangement,593,593 / 10850  (5.47%)
Epigenetic Modification,23,23 / 10850  (0.21%)
Copy Number,52,52 / 10850  (0.48%)
Expression,623,623 / 10850  (5.74%)
Gene Function,386,386 / 10850  (3.56%)
Region-Defined,962,962 / 10850  (8.87%)
Genome Feature,25,25 / 10850  (0.23%)
Other,150,150 / 10850  (1.38%)
