Category,Count of CIViC Variants per Category,Percent of all CIViC Variants
Sequence,133,133 / 3845  (3.46%)
Genotype/Haplotype,22,22 / 3845  (0.57%)
Fusion,313,313 / 3845  (8.14%)
Rearrangement,122,122 / 3845  (3.17%)
Epigenetic Modification,14,14 / 3845  (0.36%)
Copy Number,32,32 / 3845  (0.83%)
Expression,294,294 / 3845  (7.65%)
Gene Function,111,111 / 3845  (2.89%)
Region-Defined,255,255 / 3845  (6.63%)
Genome Feature,10,10 / 3845  (0.26%)
Other,79,79 / 3845  (2.05%)
Transcript,362,362 / 3845  (9.41%)
