Category,CIVIC Total Sum Impact Score,Average Impact Score per Variant,Average Impact Score per Evidence Item,Total Number Evidence Items,% Accepted Evidence Items,Total Number Variants
Sequence,2601.75,7.19,5.98,300,64.33%,133
Genotype/Haplotype,312.5,0.86,0.72,39,48.72%,22
Fusion,8112.75,22.41,18.65,1590,64.65%,313
Rearrangement,3336.0,9.22,7.67,593,40.13%,122
Epigenetic Modification,285.5,0.79,0.66,23,95.65%,14
Copy Number,210.0,0.58,0.48,77,45.45%,32
Expression,3628.0,10.02,8.34,623,55.38%,294
Gene Function,1878.75,5.19,4.32,386,44.30%,111
Region-Defined,6565.0,18.14,15.09,782,58.70%,255
Genome Feature,0.0,0.0,0.0,25,20.00%,10
Other,576.0,1.59,1.32,126,33.33%,79
Transcript,349.0,0.96,0.8,435,13.33%,362
