Category,MOA Total Sum Impact Score,Average Impact Score per Feature,Average Impact Score per Assertion,Total Number Assertions,Total Number Features,CIVIC Total Sum Impact Score,Average Impact Score per Variant,Average Impact Score per Evidence Item,Total Number Evidence Items,% Accepted Evidence Items,Total Number Variants,Sum Evidence Items,Sum Variants,Sum Impact Score,Ratio of MOA Features to MOA+CIVIC per Category
Expression Variants,10.0,1.0,1.0,10,10,3618.0,9.89,8.11,610,56.07%,287,620,297,3628.0,0.03367003367003367
Epigenetic Modification,0.0,0.0,0.0,0,0,285.5,0.78,0.64,23,95.65%,14,23,14,285.5,0.0
Fusion Variants,0.0,0.0,0.0,0,0,6558.75,17.92,14.71,1218,61.33%,294,1218,294,6558.75,0.0
Sequence Variants,1080.5,6.21,6.21,443,174,2746.75,7.5,6.16,302,64.90%,133,745,307,3827.25,0.5667752442996743
Gene Function Variants,0.0,0.0,0.0,0,0,1805.5,4.93,4.05,345,44.64%,91,345,91,1805.5,0.0
Rearrangement Variants,301.0,7.72,7.72,82,39,2794.0,7.63,6.26,531,38.04%,116,613,155,3095.0,0.25161290322580643
Copy Number Variants,57.0,3.17,3.17,39,18,225.0,0.61,0.5,67,46.27%,34,106,52,282.0,0.34615384615384615
Other Variants,22.5,2.81,2.81,20,8,653.5,1.79,1.47,144,40.28%,83,164,91,676.0,0.08791208791208792
Genotype Variants,0.0,0.0,0.0,0,0,312.5,0.85,0.7,27,62.96%,16,27,16,312.5,0.0
Region Defined Variants,0.0,0.0,0.0,0,0,6199.5,16.94,13.9,566,72.08%,129,566,129,6199.5,0.0
Transcript Variants,0.0,0.0,0.0,0,0,356.5,0.97,0.8,446,12.11%,366,446,366,356.5,0.0
