Category,Sum Evidence Items,Sum Variants,Sum Impact Score,Ratio of MOA Features to MOA+CIVIC per Category
Expression Variants,620,297,3628.0,0.03367003367003367
Epigenetic Modification,23,14,285.5,0.0
Fusion Variants,1218,294,6576.25,0.0
Sequence Variants,745,307,3827.25,0.5667752442996743
Gene Function Variants,345,91,1805.5,0.0
Rearrangement Variants,613,155,3095.0,0.25161290322580643
Copy Number Variants,106,52,282.0,0.34615384615384615
Other Variants,164,91,676.0,0.08791208791208792
Genotype Variants,27,16,312.5,0.0
Region Defined Variants,566,129,6199.5,0.0
Transcript Variants,446,366,356.5,0.0
