Category,Count of MOA Assertions per Category,Percent of all MOA Assertions
Expression Variants,10,10 / 898  (1.11%)
Epigenetic Modification,0,0 / 898  (0.00%)
Fusion Variants,0,0 / 898  (0.00%)
Sequence Variants,443,443 / 898  (49.33%)
Gene Function Variants,0,0 / 898  (0.00%)
Rearrangement Variants,82,82 / 898  (9.13%)
Copy Number Variants,39,39 / 898  (4.34%)
Other Variants,20,20 / 898  (2.23%)
Genotype Variants,0,0 / 898  (0.00%)
Region Defined Variants,0,0 / 898  (0.00%)
Transcript Variants,0,0 / 898  (0.00%)
