Category,Count of MOA Features per Category,Percent of all MOA Features
Expression Variants,10,10 / 428  (2.34%)
Epigenetic Modification,0,0 / 428  (0.00%)
Fusion Variants,0,0 / 428  (0.00%)
Sequence Variants,174,174 / 428  (40.65%)
Gene Function Variants,0,0 / 428  (0.00%)
Rearrangement Variants,39,39 / 428  (9.11%)
Copy Number Variants,18,18 / 428  (4.21%)
Other Variants,8,8 / 428  (1.87%)
Genotype Variants,0,0 / 428  (0.00%)
Region Defined Variants,0,0 / 428  (0.00%)
Transcript Variants,0,0 / 428  (0.00%)
