Category,MOA Total Sum Impact Score,Average Impact Score per Feature,Average Impact Score per Assertion,Total Number Assertions,Total Number Features
Expression Variants,10.0,1.00,1.00,10,10
Epigenetic Modification,0.0,0,0,0,0
Fusion Variants,0.0,0,0,0,0
Sequence Variants,1080.5,6.21,6.21,443,174
Gene Function Variants,0.0,0,0,0,0
Rearrangement Variants,301.0,7.72,7.72,82,39
Copy Number Variants,57.0,3.17,3.17,39,18
Other Variants,22.5,2.81,2.81,20,8
Genotype Variants,0.0,0,0,0,0
Region Defined Variants,0.0,0,0,0,0
Transcript Variants,0.0,0,0,0,0
