category,number_of_variants,#_evidence_items,impact,average_impact_per_variant
Copy Number Variants,19,31,89.0,4.68
Epigenetic Modification,14,22,82.0,5.86
Expression Variants,180,342,1235.0,6.86
Fusion Variants,204,747,2304.5,11.3
Gene Function Variants,49,154,540.5,11.03
Genotype Variants,12,17,86.0,7.17
Other Variants,42,58,226.0,5.38
Rearrangement Variants,47,202,892.5,18.99
Region Defined Variants,99,408,1853.0,18.72
Sequence Variants,73,196,856.5,11.73
Transcript Variants,51,54,156.0,3.06
