Category,Count of MOA Assertions per Category,Percent of all MOA Assertions
Expression Variants,12,12 / 894  (1.34%)
Epigenetic Modification,0,0 / 894  (0.00%)
Fusion Variants,0,0 / 894  (0.00%)
Sequence Variants,424,424 / 894  (47.43%)
Gene Function Variants,0,0 / 894  (0.00%)
Rearrangement Variants,81,81 / 894  (9.06%)
Copy Number Variants,29,29 / 894  (3.24%)
Other Variants,23,23 / 894  (2.57%)
Genotype Variants,0,0 / 894  (0.00%)
Region Defined Variants,0,0 / 894  (0.00%)
Transcript Variants,0,0 / 894  (0.00%)
