Category,CIVIC Total Sum Impact Score,Average Impact Score per Variant,Average Impact Score per Evidence Item,Total Number Evidence Items,% Accepted Evidence Items,Total Number Variants
Expression,3618.0,9.89,8.11,610,56.07%,287
Epigenetic Modification,285.5,0.78,0.64,23,95.65%,14
Fusion,6558.75,17.92,14.71,1218,61.33%,294
Protein Consequence,2683.75,7.33,6.02,293,65.19%,127
Gene Function,1805.5,4.93,4.05,345,44.64%,91
Rearrangements,653.0,1.78,1.46,137,38.69%,52
Copy Number,225.0,0.61,0.5,67,46.27%,34
Other,703.5,1.92,1.58,156,39.74%,86
Genotypes Easy,195.0,0.53,0.44,20,65.00%,10
Genotypes Compound,117.5,0.32,0.26,7,57.14%,6
Region Defined Variant,8353.5,22.82,18.73,958,58.25%,196
Transcript Variant,356.5,0.97,0.8,446,12.11%,366
