Category,Sum Evidence Items,Sum Variants,Sum Impact Score,Ratio of MOA Features to MOA+CIVIC per Category
Expression Variants,622,298,3629.0,0.03691275167785235
Epigenetic Modification,23,14,285.5,0.0
Fusion Variants,1218,294,6558.75,0.0
Sequence Variants,726,307,3851.25,0.5667752442996743
Gene Function Variants,345,91,1805.5,0.0
Rearrangement Variants,612,154,3085.0,0.24675324675324675
Copy Number Variants,96,51,269.5,0.3333333333333333
Other Variants,167,92,686.0,0.09782608695652174
Genotype Variants,27,16,312.5,0.0
Region Defined Variants,566,129,6199.5,0.0
Transcript Variants,446,366,356.5,0.0
